Code,Name,Continent,Region,IndepYear,Population
SEN,Senegal,Africa,Western Africa,1960,9481000
SGP,Singapore,Asia,Southeast Asia,1965,3567000
SGS,South Georgia and the South Sandwich Islands,Antarctica,Antarctica,,0
SHN,Saint Helena,Africa,Western Africa,,6000
SJM,Svalbard and Jan Mayen,Europe,Nordic Countries,,3200
SLB,Solomon Islands,Oceania,Melanesia,1978,444000
SLE,Sierra Leone,Africa,Western Africa,1961,4854000
SLV,El Salvador,North America,Central America,1841,6276000
SMR,San Marino,Europe,Southern Europe,885,27000
SOM,Somalia,Africa,Eastern Africa,1960,10097000
SPM,Saint Pierre and Miquelon,North America,North America,,7000
STP,Sao Tome and Principe,Africa,Central Africa,1975,147000
SUR,Suriname,South America,South America,1975,417000
SVK,Slovakia,Europe,Eastern Europe,1993,5398700
SVN,Slovenia,Europe,Southern Europe,1991,1987800
SWE,Sweden,Europe,Nordic Countries,836,8861400
SWZ,Swaziland,Africa,Southern Africa,1968,1008000
SYC,Seychelles,Africa,Eastern Africa,1976,77000
SYR,Syria,Asia,Middle East,1941,16125000
TCA,Turks and Caicos Islands,North America,Caribbean,,17000
TCD,Chad,Africa,Central Africa,1960,7651000
TGO,Togo,Africa,Western Africa,1960,4629000
THA,Thailand,Asia,Southeast Asia,1350,61399000
TJK,Tajikistan,Asia,Southern and Central Asia,1991,6188000
TKL,Tokelau,Oceania,Polynesia,,2000
TKM,Turkmenistan,Asia,Southern and Central Asia,1991,4459000
TMP,East Timor,Asia,Southeast Asia,,885000
TON,Tonga,Oceania,Polynesia,1970,99000
TTO,Trinidad and Tobago,North America,Caribbean,1962,1295000
TUN,Tunisia,Africa,Northern Africa,1956,9586000
TUR,Turkey,Asia,Middle East,1923,66591000
TUV,Tuvalu,Oceania,Polynesia,1978,12000
TWN,Taiwan,Asia,Eastern Asia,1945,22256000
TZA,Tanzania,Africa,Eastern Africa,1961,33517000
UGA,Uganda,Africa,Eastern Africa,1962,21778000
UKR,Ukraine,Europe,Eastern Europe,1991,50456000
UMI,United States Minor Outlying Islands,Oceania,Micronesia/Caribbean,,0
URY,Uruguay,South America,South America,1828,3337000
USA,United States,North America,North America,1776,278357000
UZB,Uzbekistan,Asia,Southern and Central Asia,1991,24318000
VAT,Holy See (Vatican City State),Europe,Southern Europe,1929,1000
VCT,Saint Vincent and the Grenadines,North America,Caribbean,1979,114000
VEN,Venezuela,South America,South America,1811,24170000
VGB,"Virgin Islands, British",North America,Caribbean,,21000
VIR,"Virgin Islands, U.S.",North America,Caribbean,,93000
VNM,Vietnam,Asia,Southeast Asia,1945,79832000
VUT,Vanuatu,Oceania,Melanesia,1980,190000
WLF,Wallis and Futuna,Oceania,Polynesia,,15000
WSM,Samoa,Oceania,Polynesia,1962,180000
YEM,Yemen,Asia,Middle East,1918,18112000
YUG,Yugoslavia,Europe,Southern Europe,1918,10640000
ZAF,South Africa,Africa,Southern Africa,1910,40377000
ZMB,Zambia,Africa,Eastern Africa,1964,9169000
ZWE,Zimbabwe,Africa,Eastern Africa,1980,11669000
